"alpha","beta","N.tot","S.frac","sigma","cv.abund","S.tot","alpha.const","slope.P","slope.E","slope.S1","mean.P.minus","mean.log.abund","E.happened","type"
0.01,1,100,0.05,0.01,0.1,5,TRUE,-0.0501508276118544,0.839465316182819,0.861063537356525,0.88529405946775,2.95695342095668,TRUE,"Positive DD"
0.1,1,100,0.05,0.01,0.1,5,TRUE,-0.0342353823195079,0.782637180727342,0.817910036949898,0.986443228216678,2.96591289172076,TRUE,"Positive DD"
0.3,1,100,0.05,0.01,0.1,5,TRUE,0,0.788506324220007,0.788506324220007,0.99778334093477,2.98467623778836,TRUE,"Positive DD"
0.5,1,100,0.05,0.01,0.1,5,TRUE,0,0.87367870785054,0.87367870785054,0.998596659404442,2.97061962895892,TRUE,"Positive DD"
0.7,1,100,0.05,0.01,0.1,5,TRUE,0,0.828363731638357,0.828363731638357,0.999627230882021,2.9849253639154,TRUE,"Positive DD"
0.9,1,100,0.05,0.01,0.1,5,TRUE,0,0.860960082067521,0.860960082067521,0.999843850604959,2.97523850011945,TRUE,"Positive DD"
0.99,1,100,0.05,0.01,0.1,5,TRUE,0,0.783464056235055,0.783464056235055,0.999981121621713,2.94951665924808,TRUE,"Positive DD"
0.01,4,100,0.05,0.01,0.1,5,TRUE,0,0.806271126542697,0.806271126542697,0.999863283784316,2.98346354750578,TRUE,"Positive DD"
0.1,4,100,0.05,0.01,0.1,5,TRUE,0,0.85050404468324,0.85050404468324,0.999982343433145,2.97128179688838,TRUE,"Positive DD"
0.3,4,100,0.05,0.01,0.1,5,TRUE,0,0.890676615840741,0.890676615840741,0.99999693025098,2.97664143551933,TRUE,"Positive DD"
0.5,4,100,0.05,0.01,0.1,5,TRUE,0,0.788506324220007,0.788506324220007,0.999999709261507,2.99235390001995,TRUE,"Positive DD"
0.7,4,100,0.05,0.01,0.1,5,TRUE,0,0.738352081078913,0.738352081078913,0.999998803569863,2.97061962895892,TRUE,"Positive DD"
0.9,4,100,0.05,0.01,0.1,5,TRUE,0,0.854397092992298,0.854397092992298,0.999999850307968,2.98521028349953,TRUE,"Positive DD"
0.99,4,100,0.05,0.01,0.1,5,TRUE,0,0.81313056583559,0.81313056583559,0.999999991965612,2.98680391742937,TRUE,"Positive DD"
0.01,-4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.859738690881015,1.94361788210512e-07,2.9525148130996,FALSE,"Negative DD"
0.1,-4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.892780244443473,1.76000780011504e-06,2.96306866011899,FALSE,"Negative DD"
0.3,-4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.862558433020842,1.26304750381941e-06,2.9757000768979,FALSE,"Negative DD"
0.5,-4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.882105166813591,2.65282242055857e-05,2.95738484412178,FALSE,"Negative DD"
0.7,-4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.858877216461254,2.93806908603579e-05,2.95506267936388,FALSE,"Negative DD"
0.9,-4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.831884911662962,0.000131554954526194,2.95505793621106,FALSE,"Negative DD"
0.99,-4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.864304147199057,0.00256270261673508,2.95479144139194,FALSE,"Negative DD"
0.01,-1,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.864559666372613,1.82193484753378e-05,2.96123027754525,FALSE,"Negative DD"
0.1,-1,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.835568052923764,0.000151305628174659,2.97012889841125,FALSE,"Negative DD"
0.3,-1,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.884528355487203,0.000650927372536679,2.96931572346366,FALSE,"Negative DD"
0.5,-1,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.875377958744849,0.00152430410130644,2.96613401068246,FALSE,"Negative DD"
0.7,-1,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.874222900019602,0.00393005254112434,2.96085698089858,FALSE,"Negative DD"
0.9,-1,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.857536734602417,0.0128263951310856,2.96620801271358,FALSE,"Negative DD"
0.99,-1,1000,0.05,0.01,0.1,50,TRUE,-0.00694275155875742,0.706721649006844,0.87226465804131,0.0966196628118612,2.95941379744636,TRUE,"Negative DD"
0.01,-0.4,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.880375819292558,0.00190649158736006,2.95755620921693,FALSE,"Negative DD"
0.1,-0.4,1000,0.05,0.01,0.1,50,TRUE,-0.00214261639735985,-11.9470837354298,0.885328558746004,0.0205135347288237,2.9600781756485,TRUE,"Negative DD"
0.3,-0.4,1000,0.05,0.01,0.1,50,TRUE,-0.00204154958616363,-11.9470837354298,0.885126803220467,0.0745057799293243,2.96435967582701,TRUE,"Negative DD"
0.5,-0.4,1000,0.05,0.01,0.1,50,TRUE,-0.00943107264735508,0.0514577074097579,0.805584180611013,0.155838267613596,2.96196041150568,TRUE,"Negative DD"
0.7,-0.4,1000,0.05,0.01,0.1,50,TRUE,-0.0180053930318692,-0.176027303701584,0.839669617125331,0.301480094302857,2.97475220934267,TRUE,"Negative DD"
0.9,-0.4,1000,0.05,0.01,0.1,50,TRUE,-0.0531832718646057,0.356128704259698,0.852713957557054,0.608095209316685,2.96419712863833,TRUE,"Negative DD"
0.99,-0.4,1000,0.05,0.01,0.1,50,TRUE,-0.0731823906292258,0.739416466735306,0.875214422450768,0.942340281079051,2.96657441766099,TRUE,"Negative DD"
0.01,0,1000,0.05,0.01,0.1,50,TRUE,NA,NA,0.866225021954975,0.01,2.96365318994926,FALSE,"Constant death"
0.1,0,1000,0.05,0.01,0.1,50,TRUE,-0.00198536014801233,-11.9470837354298,0.852617612379064,0.1,2.95943843160487,TRUE,"Constant death"
0.3,0,1000,0.05,0.01,0.1,50,TRUE,-0.0158895057456751,0.730004474799421,0.862251780203324,0.3,2.96415833643324,TRUE,"Constant death"
0.5,0,1000,0.05,0.01,0.1,50,TRUE,-0.0324799142049412,-0.316382659203138,0.841784469608858,0.5,2.97154822426167,TRUE,"Constant death"
0.7,0,1000,0.05,0.01,0.1,50,TRUE,-0.043053962556965,0.401474642180535,0.83859209816579,0.7,2.96025192922767,TRUE,"Constant death"
0.9,0,1000,0.05,0.01,0.1,50,TRUE,-0.0729418471569692,0.687131269244152,0.88803278125422,0.9,2.96010560349819,TRUE,"Constant death"
0.99,0,1000,0.05,0.01,0.1,50,TRUE,-0.0265645153311472,0.811533913746969,0.841761543925747,0.99,2.96856016788319,TRUE,"Constant death"
0.01,0.4,1000,0.05,0.01,0.1,50,TRUE,-0.00408309917232725,-12.4474412234449,0.874429053102455,0.0578273088232499,2.96528046169265,TRUE,"Positive DD"
0.1,0.4,1000,0.05,0.01,0.1,50,TRUE,-0.0162582549044502,-0.0222012646710771,0.867689520934273,0.392376053984897,2.96561239978436,TRUE,"Positive DD"
0.3,0.4,1000,0.05,0.01,0.1,50,TRUE,-0.0418289998211691,0.254346277213183,0.884126483912694,0.702783993128745,2.96492660787984,TRUE,"Positive DD"
0.5,0.4,1000,0.05,0.01,0.1,50,TRUE,-0.0683605507962084,0.285053602154009,0.863367499454124,0.844640596930594,2.95907673098669,TRUE,"Positive DD"
0.7,0.4,1000,0.05,0.01,0.1,50,TRUE,-0.0645898309165557,0.751889716195728,0.87611477404964,0.925233139827403,2.96932244690285,TRUE,"Positive DD"
0.9,0.4,1000,0.05,0.01,0.1,50,TRUE,-0.03542070663968,0.787273797441701,0.831285123718094,0.979403026053319,2.9672394336387,TRUE,"Positive DD"
0.99,0.4,1000,0.05,0.01,0.1,50,TRUE,-0.00251770352346036,0.867905642137902,0.870032158118145,0.998079692470792,2.96597122195354,TRUE,"Positive DD"
0.01,1,1000,0.05,0.01,0.1,50,TRUE,-0.0482223376231142,0.818942381563678,0.875865347066558,0.895322320294039,2.95986696855499,TRUE,"Positive DD"
0.1,1,1000,0.05,0.01,0.1,50,TRUE,-0.0150851556087537,0.841987473818099,0.857378526972296,0.985841086071075,2.96499976713518,TRUE,"Positive DD"
0.3,1,1000,0.05,0.01,0.1,50,TRUE,-0.00683103572457754,0.842518955149192,0.849576681113813,0.996745377690412,2.96819688116776,TRUE,"Positive DD"
0.5,1,1000,0.05,0.01,0.1,50,TRUE,-0.0100399640815899,0.85421771693115,0.863496632707411,0.998442635918095,2.96484600384358,TRUE,"Positive DD"
0.7,1,1000,0.05,0.01,0.1,50,TRUE,0,0.857871303250334,0.857871303250334,0.99932777804347,2.96511711314526,TRUE,"Positive DD"
0.9,1,1000,0.05,0.01,0.1,50,TRUE,0,0.842601014635757,0.842601014635757,0.999831051820077,2.963273128967,TRUE,"Positive DD"
0.99,1,1000,0.05,0.01,0.1,50,TRUE,0,0.848969122994931,0.848969122994931,0.999986860702621,2.97260226441844,TRUE,"Positive DD"
0.01,4,1000,0.05,0.01,0.1,50,TRUE,-0.00426848141332101,0.863162822621462,0.8672750490926,0.999484062780089,2.97019643787322,TRUE,"Positive DD"
0.1,4,1000,0.05,0.01,0.1,50,TRUE,-0.00250346954049776,0.805632655090404,0.808414634259427,0.999935390160991,2.96129227077571,TRUE,"Positive DD"
0.3,4,1000,0.05,0.01,0.1,50,TRUE,0,0.867712238936461,0.867712238936461,0.999958214710549,2.96375746217733,TRUE,"Positive DD"
0.5,4,1000,0.05,0.01,0.1,50,TRUE,0,0.858057772114202,0.858057772114202,0.999993959052064,2.95771822304725,TRUE,"Positive DD"
0.7,4,1000,0.05,0.01,0.1,50,TRUE,0,0.900917811444965,0.900917811444965,0.999998101886824,2.97325219455195,TRUE,"Positive DD"
0.9,4,1000,0.05,0.01,0.1,50,TRUE,0,0.839223731939184,0.839223731939184,0.999998872436082,2.97599644656015,TRUE,"Positive DD"
0.99,4,1000,0.05,0.01,0.1,50,TRUE,0,0.861529110232727,0.861529110232727,0.999999857822141,2.96606186871957,TRUE,"Positive DD"
0.01,-4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.859436909430014,3.10877502033595e-05,2.23132719448411,FALSE,"Negative DD"
0.1,-4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.887857586190986,0.000272090477236628,2.22608120517827,FALSE,"Negative DD"
0.3,-4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.811807522259824,0.000569233972757189,2.24803179126541,FALSE,"Negative DD"
0.5,-4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.86532607890263,0.00184684260144674,2.2564586373122,FALSE,"Negative DD"
0.7,-4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.834639886984138,0.00182293900284853,2.28085933820711,FALSE,"Negative DD"
0.9,-4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.836707846539419,0.02261490151796,2.21383304953447,FALSE,"Negative DD"
0.99,-4,100,0.1,0.01,0.1,10,TRUE,-0.00940888070144976,-11.9470837354298,0.905120314531681,0.0926272512809818,2.25268460451391,TRUE,"Negative DD"
