"alpha","beta","N.tot","S.frac","sigma","cv.abund","alpha.const","S.tot","slope.P","slope.E","slope.S1","mean.P.minus","mean.log.abund","E.happened","type"
0.5,-4,100,0.05,0.01,0.1,FALSE,5,NA,NA,0.815832057390534,6.95010027517476e-06,2.96337108386698,FALSE,"Negative DD"
0.5,-1,100,0.05,0.01,0.1,FALSE,5,NA,NA,0.928465186862207,0.00871205520264911,2.95940631433088,FALSE,"Negative DD"
0.5,-0.4,100,0.05,0.01,0.1,FALSE,5,NA,NA,0.788553028953238,0.160645250453241,2.99185327397632,FALSE,"Negative DD"
0.5,0,100,0.05,0.01,0.1,FALSE,5,-0.0809512217387696,-0.505087912291295,0.821414771384824,0.563389589098236,2.97318642055494,TRUE,"Constant death"
0.5,0.4,100,0.05,0.01,0.1,FALSE,5,-0.0216404256133344,0.773703707384571,0.799194055882977,0.709166696425677,2.98593623710965,TRUE,"Positive DD"
0.5,1,100,0.05,0.01,0.1,FALSE,5,-0.0328613870424708,0.745740211099269,0.784494923038595,0.986563759830321,2.96364217715883,TRUE,"Positive DD"
0.5,4,100,0.05,0.01,0.1,FALSE,5,0,0.869629877056078,0.869629877056078,0.999995282551996,2.9601879928058,TRUE,"Positive DD"
0.5,-4,1000,0.05,0.01,0.1,FALSE,50,NA,NA,0.866733380870265,1.3653008888826e-05,2.96050059217611,FALSE,"Negative DD"
0.5,-1,1000,0.05,0.01,0.1,FALSE,50,NA,NA,0.869094327143758,0.00485818593784258,2.96890087155752,FALSE,"Negative DD"
0.5,-0.4,1000,0.05,0.01,0.1,FALSE,50,-0.0117678070122053,0.702385587152921,0.86845793193945,0.270694973547534,2.97350617096289,TRUE,"Negative DD"
0.5,0,1000,0.05,0.01,0.1,FALSE,50,-0.0351756002414548,-0.0884550317543632,0.849022889922834,0.463106745626261,2.96850872595129,TRUE,"Constant death"
0.5,0.4,1000,0.05,0.01,0.1,FALSE,50,-0.0429808028885103,0.745060091614589,0.860063519186858,0.775250978723989,2.9597848727191,TRUE,"Positive DD"
0.5,1,1000,0.05,0.01,0.1,FALSE,50,-0.014812270088224,0.846000028040401,0.860145043800327,0.994570489806418,2.96294360287982,TRUE,"Positive DD"
0.5,4,1000,0.05,0.01,0.1,FALSE,50,0,0.858298443843345,0.858298443843345,0.999805534972256,2.95393484978045,TRUE,"Positive DD"
0.5,-4,100,0.1,0.01,0.1,FALSE,10,NA,NA,0.892977674394177,0.00231707337350543,2.28295433024394,FALSE,"Negative DD"
0.5,-1,100,0.1,0.01,0.1,FALSE,10,NA,NA,0.883650741936439,0.093117868655164,2.25691134114372,FALSE,"Negative DD"
0.5,-0.4,100,0.1,0.01,0.1,FALSE,10,-0.0581420576679331,-0.606264384111037,0.916135122851587,0.454520704761091,2.24780558809697,TRUE,"Negative DD"
0.5,0,100,0.1,0.01,0.1,FALSE,10,-0.0501046657151951,-0.0698321123281634,0.853516907842566,0.51322941482123,2.25510949059345,TRUE,"Constant death"
