"S","M","Amu","d_z","P.alpha","P.gamma","P.slope","E.slope","type"
10,100,-0.9,2.2,0.150123015873016,0,-0.0150123015873016,-0.114,"Positive DD"
100,100,-0.9,2.2,0.0999515025809274,0,-0.00999515025809274,-0.973,"Positive DD"
10,10,-0.5,2.2,0.326746031746032,0,-0.0326746031746032,-0.27,"Positive DD"
100,10,-0.5,2.2,0.0937160126588995,0,-0.00937160126588995,-0.82,"Positive DD"
10,100,-0.5,2.2,0.301507936507937,0,-0.0301507936507937,-0.203,"Positive DD"
100,100,-0.5,2.2,0.144475192715022,0,-0.0144475192715022,-1.377,"Positive DD"
10,10,-0.1,2.2,0.443571428571429,0.1,-0.0343571428571428,-0.15,"Positive DD"
100,10,-0.1,2.2,0.142178152087458,0.01,-0.0132178152087458,-0.78,"Positive DD"
10,100,-0.1,2.2,0.589,0,-0.0589,-0.313,"Positive DD"
100,100,-0.1,2.2,0.247260447452218,0,-0.0247260447452218,-1.922,"Positive DD"
10,10,-0.9,2.4,0.0780555555555556,0,-0.00780555555555556,-0.07,"Positive DD"
100,10,-0.9,2.4,0.006092377860235,0,-0.0006092377860235,-0.06,"Positive DD"
10,100,-0.9,2.4,0.0710357142857143,0,-0.00710357142857143,-0.055,"Positive DD"
100,100,-0.9,2.4,0.00733663353501351,0,-0.000733663353501351,-0.073,"Positive DD"
10,10,-0.5,2.4,0.233015873015873,0,-0.0233015873015873,-0.17,"Positive DD"
100,10,-0.5,2.4,0.0257206613235741,0,-0.00257206613235741,-0.24,"Positive DD"
10,100,-0.5,2.4,0.111583333333333,0,-0.0111583333333333,-0.107,"Positive DD"
100,100,-0.5,2.4,0.021211619684309,0,-0.0021211619684309,-0.204,"Positive DD"
10,10,-0.1,2.4,0.390753968253968,0,-0.0390753968253968,-0.19,"Positive DD"
100,10,-0.1,2.4,0.0921898879149467,0,-0.00921898879149467,-0.82,"Positive DD"
10,100,-0.1,2.4,0.355456349206349,0,-0.0355456349206349,-0.252,"Positive DD"
100,100,-0.1,2.4,0.0990667588810221,0,-0.00990667588810222,-0.875,"Positive DD"
10,10,-0.9,2.6,0.0811111111111111,0,-0.00811111111111111,-0.08,"Positive DD"
100,10,-0.9,2.6,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.9,2.6,0.0530515873015873,0,-0.00530515873015873,-0.047,"Positive DD"
100,100,-0.9,2.6,0.00243682100300289,0,-0.000243682100300289,-0.024,"Positive DD"
10,10,-0.5,2.6,0.0644444444444444,0,-0.00644444444444444,-0.06,"Positive DD"
100,10,-0.5,2.6,0.00201010101010101,0,-0.000201010101010101,-0.02,"Positive DD"
